level,upgrade_cost,required_exp,unlock_content
2,12,5,解锁胡萝卜，可开垦农田数量3-4，解锁桃霞变异
3,50,36,解锁番茄，解锁幽蓝变异
4,100,60,可开垦农田数量4-5，解锁一键浇水
5,150,100,解锁蘑菇，农场小摊等级上限1-2
6,480,360,解锁土豆，可开垦农田数量5-6，解锁铸铁变异
7,2100,720,可开垦农田数量6-7，农场小摊等级上限2-3
8,5000,1100,解锁玉米，解锁一键收获
9,1.3万,2200,农场小摊等级上限3-4
10,2.5万,3500,解锁草莓，可开垦农田数量7-8，解锁冰晶变异
11,4.5万,5000,农场小摊等级上限4-5
12,8.6万,7500,解锁向日葵，可开垦农田数量8-9，解锁橙光、青铜、巨大化变异，解锁一键收获
13,10.9万,1万,农场小摊等级上限5-6
14,13.2万,1.25万,解锁青椒，可开垦农田数量9-10
15,15.4万,1.5万,农场小摊等级上限6-7
16,17.9万,1.75万,解锁大蒜，可开垦农田数量10-11
17,20.4万,2万,农场小摊等级上限7-8
18,23.6万,2.35万,解锁香蕉，可开垦农田数量11-12，解锁琥珀变异
19,26.8万,2.7万,农场小摊等级上限8-9
20,30.3万,3.05万,解锁蓝莓，可开垦农田数量12-13，解锁琉璃、青玉、明珠、璀璨变异
21,33.6万,3.4万,农场小摊等级上限9-10
22,37.5万,3.75万,解锁黄瓜，可开垦农田数量13-14
23,41.3万,4.2万,农场小摊等级上限10-11
24,45.2万,4.65万,解锁茄子，可开垦农田数量14-15
25,49.3万,5.1万,农场小摊等级上限11-12
26,53.6万,5.55万,解锁南瓜，可开垦农田数量15-16
27,59.3万,6万,农场小摊等级上限12-13
28,67.5万,7万,解锁柚子，可开垦农田数量16-17
29,76.2万,8万,农场小摊等级上限13-14
30,85.9万,9万,解锁卷心菜，可开垦农田数量17-18
31,97.5万,10万,农场小摊等级上限14-15
32,110万,11万,解锁白萝卜，可开垦农田数量18-19
33,124万,12万,农场小摊等级上限15-16
34,140万,13万,解锁葡萄，可开垦农田数量19-20
35,158万,14万,农场小摊等级上限16-17
36,178万,16万,解锁生菜，可开垦农田数量20-21
37,200万,18万,农场小摊等级上限17-18
38,227万,20万,解锁西瓜，可开垦农田数量21-22
39,255万,22万,农场小摊等级上限18-19
40,282万,24万,解锁辣椒，可开垦农田数量22-23
41,308万,26万,农场小摊等级上限19-20
42,334万,28万,解锁洋葱，可开垦农田数量23-24
43,360万,30万,农场小摊等级上限20-21
44,385万,32万,解锁花菜，可升至二级农田数量0-1
45,409万,34万,解锁猕猴桃，农场小摊等级上限21-22
46,432万,36万,解锁花生，可升至二级农田数量1-2
47,468万,38万,农场小摊等级上限22-23
48,503万,40万,解锁木瓜，可升至二级农田数量2-3
49,532万,42万,农场小摊等级上限23-24
50,561万,44万,解锁荞麦，可升至二级农田数量3-4
51,591万,46万,解锁莴笋，农场小摊等级上限24-25
52,638万,48万,解锁红枣，可升至二级农田数量4-5
53,685万,50万,解锁棉花，农场小摊等级上限25-26
54,734万,52万,解锁橘子，可升至二级农田数量5-6
55,784万,54万,解锁菠萝，农场小摊等级上限26-27
56,835万,56万,解锁四季豆，可升至二级农田数量6-7
57,950万,58万,解锁冬瓜，农场小摊等级上限27-28
58,1070万,60万,解锁李子，可升至二级农田数量7-8
59,1200万,62万,解锁杨桃，农场小摊等级上限28-29
60,1350万,64万,解锁梨子，可升至二级农田数量8-9
61,1520万,66万,解锁甘蔗，农场小摊等级上限29-30
62,1760万,68万,解锁葫芦，可升至二级农田数量9-10
63,2000万,70万,解锁桃子，农场小摊等级上限30-31
64,2260万,72万,解锁柠檬，可升至二级农田数量10-11
65,2540万,74万,解锁樱桃，农场小摊等级上限31-32
66,3000万,77万,解锁桑葚，可升至二级农田数量11-12
67,3600万,81万,解锁杏子，农场小摊等级上限32-33
68,4450万,88万,解锁哈密瓜，可升至二级农田数量12-13
69,5550万,98万,解锁枇杷，农场小摊等级上限33-34
70,6900万,111万,解锁灯笼果，可升至二级农田数量13-14
71,8500万,127万,解锁树莓，农场小摊等级上限34-35
72,1.03亿,146万,解锁芒果
73,1.24亿,165万,解锁山竹，可升至二级农田数量14-15，农场小摊等级上限35-36
74,1.48亿,184万,解锁山楂
75,1.74亿,203万,解锁莲花，农场小摊等级上限36-37
76,2.02亿,222万,解锁咖啡豆，可升至二级农田数量15-16
77,2.33亿,241万,解锁火龙果，农场小摊等级上限37-38
78,2.67亿,260万,解锁石榴
